,RequestName,SanctionName,similarity,requestID,UID
0,王锦雨,王锦雨,0.9999999999999999,AA012345,8
1,王棉雨,王锦雨,0.8246260343695907,AA012346,8
2,王靳雨,王锦雨,0.7301739250286354,AA012347,8
3,王锦雨,张雨,0.7185410517450832,AA012345,1320
4,王棉雨,张雨,0.7797895320383192,AA012346,1320
5,王靳雨,张雨,0.8310157424106307,AA012347,1320
6,王锦雨,雷雨,0.675950122862867,AA012345,689
7,王棉雨,雷雨,0.7335681499454239,AA012346,689
8,王靳雨,雷雨,0.7817579688999118,AA012347,689
9,王锦雨,王存雨,0.6016327117805957,AA012345,913
10,王棉雨,王存雨,0.652915918497549,AA012346,913
11,王靳雨,王存雨,0.6958075024727269,AA012347,913
13,王棉雨,郑雨桐,0.6387429360745843,AA012346,465
14,王靳雨,郑雨桐,0.6807034634641422,AA012347,465
16,王棉雨,何雨春,0.6323527335446405,AA012346,1126
17,王靳雨,何雨春,0.6738934734842889,AA012347,1126
19,王棉雨,史方雨,0.6306011247137242,AA012346,2571
20,王靳雨,史方雨,0.6720267973451105,AA012347,2571
22,王棉雨,郑鑫雨,0.6052256533634913,AA012346,2254
23,王靳雨,郑鑫雨,0.6449843515353901,AA012347,2254
26,王靳雨,施雨桐,0.6203294083660551,AA012347,2175
29,王靳雨,杨雨前,0.6112944218432036,AA012347,2705
48,王友,王友,1.0,BB099931,12
49,王有,王友,0.6677252479921905,BB099932,12
75,袁临江,袁临江,0.9999999999999999,CC072982,66
76,袁江临,袁临江,0.8261342654380077,CC072983,66
77,江临袁,袁临江,0.7965209446770806,CC072984,66
106,井上昌信,井上昌信,1.0000000000000002,DD903844,394
107,井上信昌,井上昌信,0.7506277004048358,DD903845,394
109,井上昌,井上昌信,0.8532165813651305,DD903847,394
110,上昌信,井上昌信,0.7885674817680802,DD903848,394
140,李昌达,李昌达,1.0,HH1234571,2494
141,李昌达,李昌达,1.0,HH1234572,2494
142,李昌达,李昌达,1.0,HH1234573,2494
143,李昌达,李昌达,1.0,HH1234574,2494
290,徐佘余,徐佘余,1.0,EE123456,239
291,徐佘,徐佘余,0.6166825668922706,EE123457,239
292,佘余,徐佘余,0.7872119229859011,EE123458,239
294,徐佘,徐俊,0.6158658569377217,EE123457,1683
380,细见达秀,细见达秀,1.0,GG1234576,2970
381,细见达秀,细见达秀,1.0,GG1234577,2970
382,细见达秀,细见达秀,1.0,GG1234578,2970
461,陈章华,陈章华,0.9999999999999999,FF1234579,19
462,陈章华,陈章华,0.9999999999999999,FF1234580,19
463,陈章华,陈章华,0.9999999999999999,FF1234581,19
