,RequestName,SanctionName,similarityScore,requestID,lastName,firstName,wholeName,UID,LAST_NAME,FIRST_NAME
0,王锦雨,王锦雨,0.9999999999999999,AA012345,王,锦雨,王锦雨,8,王,锦雨
1,王棉雨,王锦雨,0.8246260343695907,AA012346,王,棉雨,王棉雨,8,王,锦雨
2,王靳雨,王锦雨,0.7301739250286354,AA012347,王,靳雨,王靳雨,8,王,锦雨
3,王锦雨,张雨,0.7185410517450832,AA012345,王,锦雨,王锦雨,1320,张,雨
4,王棉雨,张雨,0.7797895320383192,AA012346,王,棉雨,王棉雨,1320,张,雨
5,王靳雨,张雨,0.8310157424106307,AA012347,王,靳雨,王靳雨,1320,张,雨
6,王锦雨,雷雨,0.675950122862867,AA012345,王,锦雨,王锦雨,689,雷,雨
7,王棉雨,雷雨,0.7335681499454239,AA012346,王,棉雨,王棉雨,689,雷,雨
8,王靳雨,雷雨,0.7817579688999118,AA012347,王,靳雨,王靳雨,689,雷,雨
9,王锦雨,王存雨,0.6016327117805957,AA012345,王,锦雨,王锦雨,913,王,存雨
10,王棉雨,王存雨,0.652915918497549,AA012346,王,棉雨,王棉雨,913,王,存雨
11,王靳雨,王存雨,0.6958075024727269,AA012347,王,靳雨,王靳雨,913,王,存雨
12,王锦雨,郑雨桐,0.5885729446535074,AA012345,王,锦雨,王锦雨,465,郑,雨桐
13,王棉雨,郑雨桐,0.6387429360745843,AA012346,王,棉雨,王棉雨,465,郑,雨桐
14,王靳雨,郑雨桐,0.6807034634641422,AA012347,王,靳雨,王靳雨,465,郑,雨桐
15,王锦雨,何雨春,0.5826846598560345,AA012345,王,锦雨,王锦雨,1126,何,雨春
16,王棉雨,何雨春,0.6323527335446405,AA012346,王,棉雨,王棉雨,1126,何,雨春
17,王靳雨,何雨春,0.6738934734842889,AA012347,王,靳雨,王靳雨,1126,何,雨春
18,王锦雨,史方雨,0.5810706309419469,AA012345,王,锦雨,王锦雨,2571,史,方雨
19,王棉雨,史方雨,0.6306011247137242,AA012346,王,棉雨,王棉雨,2571,史,方雨
20,王靳雨,史方雨,0.6720267973451105,AA012347,王,靳雨,王靳雨,2571,史,方雨
21,王锦雨,郑鑫雨,0.5576882731089777,AA012345,王,锦雨,王锦雨,2254,郑,鑫雨
22,王棉雨,郑鑫雨,0.6052256533634913,AA012346,王,棉雨,王棉雨,2254,郑,鑫雨
23,王靳雨,郑鑫雨,0.6449843515353901,AA012347,王,靳雨,王靳雨,2254,郑,鑫雨
24,王锦雨,施雨桐,0.536370278886366,AA012345,王,锦雨,王锦雨,2175,施,雨桐
25,王棉雨,施雨桐,0.5820905120956775,AA012346,王,棉雨,王棉雨,2175,施,雨桐
26,王靳雨,施雨桐,0.6203294083660551,AA012347,王,靳雨,王靳雨,2175,施,雨桐
27,王锦雨,杨雨前,0.5285581420190182,AA012345,王,锦雨,王锦雨,2705,杨,雨前
28,王棉雨,杨雨前,0.5736124682355341,AA012346,王,棉雨,王棉雨,2705,杨,雨前
29,王靳雨,杨雨前,0.6112944218432036,AA012347,王,靳雨,王靳雨,2705,杨,雨前
30,王友,王友,1.0,BB099931,王,友,王友,12,王,友
31,王有,王友,0.6677252479921905,BB099932,王,有,王有,12,王,友
32,王友,郑友,0.510774434803226,BB099931,王,友,王友,1588,郑,友
33,王友,陈友林,0.3823533311611901,BB099931,王,友,王友,2950,陈,友林
34,王友,谭国友,0.3783056675468502,BB099931,王,友,王友,2636,谭,国友
35,王友,陈友忠,0.37216208119464933,BB099931,王,友,王友,356,陈,友忠
36,王友,林友义,0.35613936693951476,BB099931,王,友,王友,2519,林,友义
37,王友,杨振友,0.3520408750235694,BB099931,王,友,王友,104,杨,振友
38,王友,艾友刚,0.3450136622115155,BB099931,王,友,王友,1211,艾,友刚
39,王友,左友之,0.3309848572463022,BB099931,王,友,王友,630,左,友之
40,王友,王天昊,0.3277948145974322,BB099931,王,友,王友,1013,王,天昊
41,王有,王天昊,0.3133788430832099,BB099932,王,有,王有,1013,王,天昊
42,王有,郭有华,0.39903599314278493,BB099932,王,有,王有,484,郭,有华
43,王有,许有旺,0.37734615269399474,BB099932,王,有,王有,648,许,有旺
44,王有,叶有争,0.371355639938737,BB099932,王,有,王有,183,叶,有争
45,王有,廖泉有,0.3588291965763822,BB099932,王,有,王有,1182,廖,泉有
46,王有,薛有勤,0.3168146665381775,BB099932,王,有,王有,348,薛,有勤
47,王有,王天会,0.3117569565670215,BB099932,王,有,王有,145,王,天会
48,王有,王武生,0.3038026433566665,BB099932,王,有,王有,792,王,武生
49,王有,王丽岩,0.27374135155965856,BB099932,王,有,王有,2465,王,丽岩
50,王佑,王伟,0.5934235766974674,BB099933,王,佑,王佑,2337,王,伟
51,王佑,方佑,0.47149426626823093,BB099933,王,佑,王佑,627,方,佑
52,王佑,王伟刚,0.3773787877798565,BB099933,王,佑,王佑,2623,王,伟刚
